config,period,name,lookback,volume_z,hold,stop_atr,target_r,base_trades,base_avg_bps,base_pf,base_win_rate,base_total_bps,base_symbols,base_breadth,stress_trades,stress_avg_bps,stress_pf,stress_win_rate,stress_total_bps,stress_symbols,stress_breadth
BRK_L16_V0.75_H4_S1.5_T0,2025H2,BRK_L16_V0.75_H4_S1.5_T0,16,0.75,4,1.5,,8110,-9.541727046300231,0.8181399807230276,0.40160295930949447,-77383.40634549488,30,0.06666666666666667,8110,-17.541727046300227,0.6942243541654473,0.37422934648581996,-142263.40634549485,30,0.0
BRK_L16_V0.75_H4_S1.5_T0,2026H1,BRK_L16_V0.75_H4_S1.5_T0,16,0.75,4,1.5,,8002,-18.229519882347798,0.6489039024261923,0.36690827293176703,-145872.61809854707,30,0.0,8002,-26.2295198823478,0.5407286575406618,0.33629092726818294,-209888.6180985471,30,0.0
BRK_L16_V0.75_H4_S1.5_T0,JULY2026,BRK_L16_V0.75_H4_S1.5_T0,16,0.75,4,1.5,,948,-23.65878372007206,0.436382474932424,0.3037974683544304,-22428.526966628313,29,0.034482758620689655,948,-31.65878372007206,0.33725358202075584,0.2563291139240506,-30012.526966628313,29,0.0
BRK_L16_V0.75_H4_S1.5_T3,2024,BRK_L16_V0.75_H4_S1.5_T3,16,0.75,4,1.5,3.0,15675,-15.370686537570762,0.7672409338406807,0.38564593301435407,-240935.5114764217,30,0.0,15675,-23.370686537570762,0.6710737872692447,0.3607017543859649,-366335.51147642167,30,0.0
BRK_L16_V0.75_H4_S1.5_T3,2025H1,BRK_L16_V0.75_H4_S1.5_T3,16,0.75,4,1.5,3.0,7853,-16.120114381025825,0.7376871230986128,0.39730039475359735,-126591.25823419582,30,0.0,7853,-24.120114381025825,0.6366986567980822,0.36839424423787087,-189415.25823419582,30,0.0
BRK_L16_V0.75_H4_S1.5_T3,2025H2,BRK_L16_V0.75_H4_S1.5_T3,16,0.75,4,1.5,3.0,8168,-16.190770516749502,0.714335661623594,0.4005876591576885,-132246.21358080994,30,0.0,8168,-24.1907705167495,0.607199991357574,0.37340842311459355,-197590.2135808099,30,0.0
BRK_L16_V0.75_H4_S1.5_T3,2026H1,BRK_L16_V0.75_H4_S1.5_T3,16,0.75,4,1.5,3.0,8044,-17.79658661681282,0.6577575124891368,0.3673545499751367,-143155.74274564232,30,0.0,8044,-25.79658661681282,0.5488783375860198,0.33714569865738436,-207507.74274564232,30,0.0
BRK_L16_V0.75_H4_S1.5_T3,JULY2026,BRK_L16_V0.75_H4_S1.5_T3,16,0.75,4,1.5,3.0,952,-23.787186713753712,0.43422525814467916,0.30357142857142855,-22645.401751493533,29,0.034482758620689655,952,-31.787186713753712,0.3355083308264365,0.25630252100840334,-30261.401751493533,29,0.0
BRK_L16_V0.75_H4_S2_T0,2024,BRK_L16_V0.75_H4_S2_T0,16,0.75,4,2.0,,15436,-16.236953964803064,0.7591571587341899,0.3990671158331174,-250633.62140070007,30,0.0,15436,-24.236953964803064,0.6649224623227357,0.3721819124125421,-374121.62140070007,30,0.0
BRK_L16_V0.75_H4_S2_T0,2025H1,BRK_L16_V0.75_H4_S2_T0,16,0.75,4,2.0,,7765,-18.92066967291999,0.703425822577143,0.4086284610431423,-146919.0000102237,30,0.0,7765,-26.92066967291999,0.6078632220098756,0.3781068898905344,-209039.0000102237,30,0.0
BRK_L16_V0.75_H4_S2_T0,2025H2,BRK_L16_V0.75_H4_S2_T0,16,0.75,4,2.0,,8043,-8.323422504044343,0.8406053155038019,0.41713291060549545,-66945.28720002864,30,0.1,8043,-16.32342250404434,0.7136325795303045,0.38803928882257865,-131289.28720002863,30,0.0
BRK_L16_V0.75_H4_S2_T0,2026H1,BRK_L16_V0.75_H4_S2_T0,16,0.75,4,2.0,,7964,-18.573728757580845,0.6494862200949593,0.38096433952787545,-147921.17582537385,30,0.0,7964,-26.573728757580845,0.5424136304229907,0.34856855851330987,-211633.17582537385,30,0.0
BRK_L16_V0.75_H4_S2_T0,JULY2026,BRK_L16_V0.75_H4_S2_T0,16,0.75,4,2.0,,941,-24.25881079403052,0.4352240170717433,0.31562167906482463,-22827.54095718272,29,0.0,941,-32.258810794030516,0.337167639743945,0.26567481402763016,-30355.54095718272,29,0.0
