config,eligible,score,avg20_2024,pf20_2024,trades_2024,breadth_2024,avg20_2025H1,pf20_2025H1,trades_2025H1,breadth_2025H1
BRK_L64_V0_H8_S2_T0,False,-1000000000.0,-26.68680939588889,0.6951857062172317,8225,0.0,-27.69213407626358,0.6785915027832938,4484,0.03333333333333333
BRK_L64_V0_H8_S2_T3,False,-1000000000.0,-22.825361137358136,0.7389604854086101,8281,0.03333333333333333,-25.443057796892862,0.7057232019371543,4511,0.06666666666666667
BRK_L64_V0_H16_S1.5_T0,False,-1000000000.0,-19.75172149394675,0.7843021836057942,4527,0.13636363636363635,-27.907768204895266,0.6949598836850994,2481,0.09090909090909091
BRK_L64_V0_H16_S1.5_T3,False,-1000000000.0,-21.84538216277672,0.7643380409392003,4669,0.09090909090909091,-23.901695410503947,0.7375363104948403,2538,0.13636363636363635
BRK_L64_V0_H16_S2_T0,False,-1000000000.0,-19.138817975948335,0.8076444226640993,4388,0.13636363636363635,-29.11875675858916,0.7077360288917438,2413,0.0
BRK_L64_V0_H16_S2_T3,False,-1000000000.0,-19.77009740885638,0.8027735991459208,4468,0.13636363636363635,-24.347462336628638,0.7571999274330111,2443,0.13636363636363635
BRK_L64_V0.75_H4_S1.5_T0,False,-1000000000.0,-24.72146040177302,0.668506801824941,8920,0.0,-26.551662513997957,0.6244784747837326,4795,0.0
BRK_L64_V0.75_H4_S1.5_T3,False,-1000000000.0,-22.72770790926105,0.6957392726593569,8973,0.03333333333333333,-25.604806395393364,0.6370476204703196,4816,0.0
BRK_L64_V0.75_H4_S2_T0,False,-1000000000.0,-25.36886072787744,0.6694088092202043,8839,0.0,-28.357662108940147,0.6091658106058974,4752,0.0
BRK_L64_V0.75_H4_S2_T3,False,-1000000000.0,-23.062091448647497,0.6994418376279276,8852,0.03333333333333333,-27.90502001365175,0.6155319428249827,4759,0.0
BRK_L64_V0.75_H8_S1.5_T0,False,-1000000000.0,-28.393432778941346,0.6828223915900109,6837,0.03333333333333333,-28.36459387708718,0.6760248840523698,3590,0.03333333333333333
BRK_L64_V0.75_H8_S1.5_T3,False,-1000000000.0,-23.62370982353308,0.7359624400998412,6934,0.03333333333333333,-27.729689415197257,0.6837374746626999,3651,0.06666666666666667
BRK_L64_V0.75_H8_S2_T0,False,-1000000000.0,-28.675976475629806,0.6946590931243958,6717,0.03333333333333333,-29.069365410626364,0.6867709445484811,3541,0.03333333333333333
BRK_L64_V0.75_H8_S2_T3,False,-1000000000.0,-23.795390896532886,0.7460243174175014,6762,0.06666666666666667,-27.153610256935014,0.7095006972081355,3567,0.06666666666666667
BRK_L64_V0.75_H16_S1.5_T0,False,-1000000000.0,-19.856129489087945,0.7957497419340898,3742,0.13636363636363635,-27.72105621179372,0.7160284093041803,1947,0.13636363636363635
BRK_L64_V0.75_H16_S1.5_T3,False,-1000000000.0,-21.938348272862132,0.7762261317250261,3856,0.13636363636363635,-24.147919895794754,0.7525275340128151,1996,0.13636363636363635
BRK_L64_V0.75_H16_S2_T0,False,-1000000000.0,-19.569821835363726,0.8161427073378754,3640,0.22727272727272727,-27.203587418028366,0.7431199113749359,1900,0.09090909090909091
BRK_L64_V0.75_H16_S2_T3,False,-1000000000.0,-19.604611624339345,0.8162367612505654,3701,0.22727272727272727,-22.01806581023751,0.7941620344031489,1926,0.18181818181818182
BRK_L96_V0_H4_S1.5_T0,False,-1000000000.0,-24.752207079290397,0.6529479634732731,9216,0.0,-24.64821354992381,0.6349855590455369,5015,0.0
BRK_L96_V0_H4_S1.5_T3,False,-1000000000.0,-22.482497507985492,0.68498626576748,9264,0.0,-23.49625696476734,0.6509204439259371,5035,0.03333333333333333
BRK_L96_V0_H4_S2_T0,False,-1000000000.0,-25.374927288191056,0.6538139711930036,9135,0.0,-26.08661837666568,0.6214643813217955,4965,0.0
BRK_L96_V0_H4_S2_T3,False,-1000000000.0,-23.318570422369692,0.6815241464209817,9146,0.0,-25.468553956922122,0.630519322585593,4970,0.0
BRK_L96_V0_H8_S1.5_T0,False,-1000000000.0,-26.663154437958543,0.6862345451463547,7008,0.0,-26.38839441844723,0.6846463505212947,3709,0.06666666666666667
BRK_L96_V0_H8_S1.5_T3,False,-1000000000.0,-21.677525254341973,0.7452276361612963,7100,0.0,-24.271466401800108,0.7089236571828903,3767,0.03333333333333333
BRK_L96_V0_H8_S2_T0,False,-1000000000.0,-27.11899460583285,0.696141584454928,6870,0.03333333333333333,-27.122741237874518,0.6949465556942467,3646,0.03333333333333333
BRK_L96_V0_H8_S2_T3,False,-1000000000.0,-22.834819219642856,0.7439253467327617,6911,0.0,-23.915437359002702,0.7316593888408015,3668,0.06666666666666667
BRK_L96_V0_H16_S1.5_T0,False,-1000000000.0,-23.195366734463306,0.7505865211029987,3830,0.13636363636363635,-24.5063947175827,0.7393544851183315,2015,0.09090909090909091
BRK_L96_V0_H16_S1.5_T3,False,-1000000000.0,-22.582645750551453,0.7608531310368396,3950,0.13636363636363635,-19.799663959325546,0.7884728571341798,2063,0.13636363636363635
BRK_L96_V0_H16_S2_T0,False,-1000000000.0,-23.518947261740664,0.7683628526834514,3709,0.13636363636363635,-23.215770224304723,0.7701766132260108,1955,0.09090909090909091
BRK_L96_V0_H16_S2_T3,False,-1000000000.0,-21.507234603123642,0.7902105799418722,3773,0.13636363636363635,-16.902413742631225,0.8337884629641968,1982,0.22727272727272727
BRK_L96_V0.75_H4_S1.5_T0,False,-1000000000.0,-25.265525325951877,0.6660090663527356,7676,0.0,-26.054604307784718,0.6397533246470909,4046,0.0
BRK_L96_V0.75_H4_S1.5_T3,False,-1000000000.0,-22.67775748410002,0.7002764329466783,7716,0.0,-24.756775561728023,0.6568317064456302,4064,0.03333333333333333
BRK_L96_V0.75_H4_S2_T0,False,-1000000000.0,-25.911522714173984,0.6671856729184894,7604,0.0,-27.65150612477216,0.62619253501741,4004,0.0
BRK_L96_V0.75_H4_S2_T3,False,-1000000000.0,-23.365579206360234,0.6995965925226345,7613,0.03333333333333333,-26.991186878733178,0.635338796606466,4010,0.03333333333333333
BRK_L96_V0.75_H8_S1.5_T0,False,-1000000000.0,-28.40796600830072,0.685818925989014,5872,0.03333333333333333,-28.296054000682595,0.6845136500996065,3040,0.06666666666666667
BRK_L96_V0.75_H8_S1.5_T3,False,-1000000000.0,-22.619793942052212,0.7495415583166877,5947,0.06666666666666667,-27.01594132291934,0.6986710940156755,3091,0.1
BRK_L96_V0.75_H8_S2_T0,False,-1000000000.0,-28.492654514628125,0.6995091675848536,5761,0.03333333333333333,-29.00917306760902,0.6957986908631026,2996,0.03333333333333333
BRK_L96_V0.75_H8_S2_T3,False,-1000000000.0,-23.125771629561502,0.7555515752873122,5795,0.06666666666666667,-26.333424061796524,0.7255673498754404,3019,0.06666666666666667
BRK_L96_V0.75_H16_S1.5_T0,False,-1000000000.0,-23.775269002690123,0.7569352168401969,3260,0.13636363636363635,-23.805677739145995,0.7611932564293021,1643,0.18181818181818182
BRK_L96_V0.75_H16_S1.5_T3,False,-1000000000.0,-22.234878793892427,0.7750806835782504,3359,0.18181818181818182,-20.212627620757733,0.7974088623695591,1685,0.22727272727272727
BRK_L96_V0.75_H16_S2_T0,False,-1000000000.0,-24.26698769617924,0.7737920880327982,3165,0.13636363636363635,-20.652820639760296,0.8064166930359252,1601,0.22727272727272727
BRK_L96_V0.75_H16_S2_T3,False,-1000000000.0,-20.647080459019623,0.8082229950141906,3215,0.18181818181818182,-14.164414450163022,0.8686535837071516,1625,0.3181818181818182
